sku,nombre,precio,costo_reposicion,stock_inicial,stock_minimo,gaveta
SKU-0341,Resistencia 0.25W 1% 6.8R,1,1,20,5,C3-S1-R6-P1
SKU-0342,Resistencia 0.25W 1% 10R,1,1,20,5,C3-S1-R6-P2
SKU-0343,Resistencia 0.25W 1% 22R,1,1,20,5,C3-S1-R6-P3
SKU-0344,Resistencia 0.25W 1% 33R,1,1,20,5,C3-S1-R6-P4
SKU-0345,Resistencia 0.25W 1% 47R,1,1,20,5,C3-S1-R7-P1
SKU-0346,Resistencia 0.25W 1% 68R,1,1,20,5,C3-S1-R7-P2
SKU-0347,Resistencia 0.25W 1% 100R,1,1,20,5,C3-S1-R7-P3
SKU-0348,Resistencia 0.25W 1% 120R,1,1,20,5,C3-S1-R7-P4
SKU-0349,Resistencia 0.25W 1% 150R,1,1,20,5,C3-S2-R1-P1
SKU-0350,Resistencia 0.25W 1% 180R,1,1,20,5,C3-S2-R1-P2
SKU-0351,Resistencia 0.25W 1% 200R,1,1,20,5,C3-S2-R1-P3
SKU-0352,Resistencia 0.25W 1% 220R,1,1,20,5,C3-S2-R1-P4
SKU-0353,Resistencia 0.25W 1% 300R,1,1,20,5,C3-S2-R1-P5
SKU-0354,Resistencia 0.25W 1% 330R,1,1,20,5,C3-S2-R1-P6
SKU-0355,Resistencia 0.25W 1% 390R,1,1,20,5,C3-S2-R1-P7
SKU-0356,Resistencia 0.25W 1% 470R,1,1,20,5,C3-S2-R1-P8
SKU-0357,Resistencia 0.25W 1% 510R,1,1,20,5,C3-S2-R2-P1
SKU-0358,Resistencia 0.25W 1% 620R,1,1,20,5,C3-S2-R2-P2
SKU-0359,Resistencia 0.25W 1% 820R,1,1,20,5,C3-S2-R2-P3
SKU-0360,Resistencia 0.25W 1% 1KR,1,1,20,5,C3-S2-R2-P4
SKU-0361,Resistencia 0.25W 1% 1.2KR,1,1,20,5,C3-S2-R2-P5
SKU-0362,Resistencia 0.25W 1% 1.5KR,1,1,20,5,C3-S2-R2-P6
SKU-0363,Resistencia 0.25W 1% 2KR,1,1,20,5,C3-S2-R2-P7
SKU-0364,Resistencia 0.25W 1% 2.2KR,1,1,20,5,C3-S2-R2-P8
SKU-0365,Resistencia 0.25W 1% 3KR,1,1,20,5,C3-S2-R3-P1
SKU-0366,Resistencia 0.25W 1% 3.3KR,1,1,20,5,C3-S2-R3-P2
SKU-0367,Resistencia 0.25W 1% 3.6KR,1,1,20,5,C3-S2-R3-P3
SKU-0368,Resistencia 0.25W 1% 3.9KR,1,1,20,5,C3-S2-R3-P4
SKU-0369,Resistencia 0.25W 1% 4.7KR,1,1,20,5,C3-S2-R3-P5
SKU-0370,Resistencia 0.25W 1% 5.1KR,1,1,20,5,C3-S2-R3-P6
SKU-0371,Resistencia 0.25W 1% 6.2KR,1,1,20,5,C3-S2-R3-P7
SKU-0372,Resistencia 0.25W 1% 6.8KR,1,1,20,5,C3-S2-R3-P8
SKU-0373,Resistencia 0.25W 1% 7.5KR,1,1,20,5,C3-S2-R4-P1
SKU-0374,Resistencia 0.25W 1% 8.2KR,1,1,20,5,C3-S2-R4-P2
SKU-0375,Resistencia 0.25W 1% 10KR,1,1,20,5,C3-S2-R4-P3
SKU-0376,Resistencia 0.25W 1% 12KR,1,1,20,5,C3-S2-R4-P4
SKU-0377,Resistencia 0.25W 1% 15KR,1,1,20,5,C3-S2-R4-P5
SKU-0378,Resistencia 0.25W 1% 20KR,1,1,20,5,C3-S2-R4-P6
SKU-0379,Resistencia 0.25W 1% 22KR,1,1,20,5,C3-S2-R4-P7
SKU-0380,Trimpot 15 Vueltas 100R,15,15,20,5,C3-S2-R4-P8
SKU-0381,Trimpot 15 Vueltas 200R,18,18,20,5,C3-S2-R5-P1
SKU-0382,Trimpot 15 Vueltas 500R,18,18,20,5,C3-S2-R5-P2
SKU-0383,Trimpot 15 Vueltas 1kR,18,18,20,5,C3-S2-R5-P3
SKU-0384,Trimpot 15 Vueltas 2kR,18,18,20,5,C3-S2-R5-P4
SKU-0385,Trimpot 15 Vueltas 5kR,18,18,20,5,C3-S2-R6-P1
SKU-0386,Trimpot 15 Vueltas 10kR,18,18,20,5,C3-S2-R6-P2
SKU-0387,Trimmer 1 Vuelta 10kR,18,18,20,5,C3-S2-R6-P3
SKU-0388,Trimpot 15 Vueltas 20kR,18,18,20,5,C3-S2-R6-P4
SKU-0389,Trimpot 15 Vueltas 20kR,18,18,20,5,C3-S2-R7-P1
SKU-0390,Trimpot 15 Vueltas 50kR,18,18,20,5,C3-S2-R7-P2
SKU-0391,Trimpot 15 Vueltas 50kR,18,18,20,5,C3-S2-R7-P3
SKU-0392,Trimpot 15 Vueltas 100kR,18,18,20,5,C3-S2-R7-P4
SKU-0393,Trimpot 15 Vueltas 200kR,18,18,20,5,C3-S3-R1-P1
SKU-0394,Trimpot 15 Vueltas 500kR,18,18,20,5,C3-S3-R1-P2
SKU-0395,Trimpot 15 Vueltas 1MR,18,18,20,5,C3-S3-R1-P3
SKU-0396,Trimpot 15 Vueltas 2MR,18,18,20,5,C3-S3-R1-P4
SKU-0397,Potenciometro 500mW WH148 de 1kR,10,10,20,5,C3-S3-R1-P5
SKU-0398,Potenciometro 500mW WH148 de 5kR,10,10,20,5,C3-S3-R1-P6
SKU-0399,Potenciometro 500mW WH148 de 10kR,10,10,20,5,C3-S3-R1-P7
SKU-0400,Potenciometro 500mW WH148 de 20kR,10,10,20,5,C3-S3-R1-P8
SKU-0401,Potenciometro 500mW WH148 de 50kR,10,10,20,5,C3-S3-R2-P1
SKU-0402,Potenciometro 500mW WH148 de 100kR,10,10,20,5,C3-S3-R2-P2
SKU-0403,Potenciometro 500mW WH148 de 250kR,10,10,20,5,C3-S3-R2-P3
SKU-0404,Potenciometro 500mW WH148 de 500kR,10,10,20,5,C3-S3-R2-P4
SKU-0405,Potenciometro 500mW WH148 de 1MR,10,10,20,5,C3-S3-R2-P5
SKU-0406,Resistencia 2W 1% 22R,3,3,50,5,C3-S3-R2-P6
SKU-0407,Resistencia 1W 1% 10KR,2,2,50,5,C3-S3-R2-P7
SKU-0408,Resistencia 2W 1% 10KR,3,3,50,5,C3-S3-R2-P8
SKU-0409,Resistencia 1W 1% 1R,2,2,50,5,C3-S3-R3-P1
SKU-0410,Metro de cable para protoboard,7,7,20,5,C3-S3-R3-P2
SKU-0411,Cable Caiman Banana 1m Negro Rojo,40,40,10,5,C3-S3-R3-P3
SKU-0412,Cable Caiman Caiman multicolores/J20,7,7,30,5,C3-S3-R3-P4
SKU-0413,Cable para ECG de 3 derivaciones/G25,45,45,10,5,C3-S3-R3-P5
SKU-0414,Cable calibre 14 bipolar por metro/Empaque,20,20,10,5,C3-S3-R3-P6
SKU-0415,Cable USB 2.0 tipo A-A macho/M2-H4,20,20,10,5,C3-S3-R3-P7
SKU-0416,Cable mini USB 30cm/M2-H6,20,20,10,5,C3-S3-R3-P8
SKU-0417,Cable mini USB 30cm/M2-A5,20,20,10,5,C3-S3-R4-P1
SKU-0418,Resistencia 25W 5% 10R,30,30,10,5,C3-S3-R4-P2
SKU-0419,Resistencia 25W 5% 1R,30,30,10,5,C3-S3-R4-P3
SKU-0420,Resistencia 25W 5% 33R,30,30,10,5,C3-S3-R4-P4
SKU-0421,Resistencia 25W 5% 1KR,30,30,10,5,C3-S3-R4-P5
SKU-0422,Resistencia 25W 5% 5R,30,30,10,5,C3-S3-R4-P6
SKU-0423,,0,0,0,5,C3-S3-R4-P7
SKU-0424,,0,0,0,5,C3-S3-R4-P8
SKU-0425,,0,0,0,5,C3-S3-R5-P1
SKU-0426,,0,0,0,5,C3-S3-R5-P2
SKU-0427,,0,0,0,5,C3-S3-R5-P3
SKU-0428,,0,0,0,5,C3-S3-R5-P4
SKU-0429,,0,0,0,5,C3-S3-R5-P5
SKU-0430,,0,0,0,5,C3-S3-R5-P6
SKU-0431,,0,0,0,5,C3-S3-R5-P7
SKU-0432,,0,0,0,5,C3-S3-R5-P8
SKU-0433,,0,0,0,5,C3-S3-R6-P1
SKU-0434,,0,0,0,5,C3-S3-R6-P2
SKU-0435,,0,0,0,5,C3-S3-R6-P3
SKU-0436,,0,0,0,5,C3-S3-R6-P4
SKU-0437,,0,0,0,5,C3-S3-R6-P5
SKU-0438,,0,0,0,5,C3-S3-R6-P6
SKU-0439,,0,0,0,5,C3-S3-R6-P7
SKU-0440,,0,0,0,5,C3-S3-R6-P8
SKU-0441,,0,0,0,5,C3-S3-R7-P1
SKU-0442,,0,0,0,5,C3-S3-R7-P2
SKU-0443,,0,0,0,5,C3-S3-R7-P3
SKU-0444,,0,0,0,5,C3-S3-R7-P4
